"IUCN","IUCN Category","SPEC","Species","COU","Country","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,377,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,352,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,41,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,9,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,57,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,107,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,104,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,94,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,6,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,4,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,17,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,27,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,6,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,4,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,17,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,84,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,65,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,2,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,4,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,12,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,18,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,2,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,4,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,12,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","CAN","Canada","NBR","Number","0","Units",,,222,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","CAN","Canada","NBR","Number","0","Units",,,211,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","CAN","Canada","NBR","Number","0","Units",,,11,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","CAN","Canada","NBR","Number","0","Units",,,33,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","CAN","Canada","NBR","Number","0","Units",,,55,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","CAN","Canada","NBR","Number","0","Units",,,11,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","CAN","Canada","NBR","Number","0","Units",,,33,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,92,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,81,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,1,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,10,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,4,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,15,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","DNK","Denmark","NBR","Number","0","Units",,,71,,
